id,first_name,last_name,email,gender,Narital status,assault/abuse,rape,sought help
1,Mufi,Darlington,mdarlington0@yellowbook.com,Female,divorced,No,Yes,No
2,Tobit,McCloughlin,tmccloughlin1@squarespace.com,Male,married,Yes,No,No
3,Alvan,Monday,amonday2@blinklist.com,Male,separated,Yes,Yes,No
4,Carlina,Prahl,cprahl3@theglobeandmail.com,Female,married,Yes,No,No
5,Sula,Wilkenson,swilkenson4@discovery.com,Agender,single,No,Yes,Yes
6,Letty,Giovannilli,lgiovannilli5@princeton.edu,Female,divorced,Yes,Yes,Yes
7,Vallie,Chappell,vchappell6@reverbnation.com,Female,married,Yes,Yes,No
8,Dorri,Masson,dmasson7@yolasite.com,Female,divorced,No,No,Yes
9,Bette-ann,Brigden,bbrigden8@theguardian.com,Female,married,No,No,Yes
10,Russ,Sedwick,rsedwick9@tamu.edu,Male,separated,Yes,Yes,No
11,Gino,Robshaw,grobshawa@narod.ru,Male,single,No,Yes,Yes
12,Zack,Yaus,zyausb@wsj.com,Male,divorced,No,Yes,No
13,Felicio,Pawling,fpawlingc@simplemachines.org,Male,separated,Yes,No,No
14,Keith,Bolderoe,kbolderoed@yandex.ru,Male,divorced,No,Yes,Yes
15,Sim,Moscone,smosconee@symantec.com,Male,separated,Yes,No,Yes
16,Electra,Undy,eundyf@g.co,Female,separated,Yes,No,Yes
17,Melva,Gallaher,mgallaherg@cbsnews.com,Female,single,No,Yes,No
18,Gibbie,Stichel,gstichelh@spotify.com,Male,divorced,Yes,Yes,No
19,Pail,Weber,pweberi@state.gov,Male,married,No,Yes,Yes
20,Constance,Jahn,cjahnj@wikia.com,Female,divorced,No,Yes,No
21,Friederike,Inkpen,finkpenk@goodreads.com,Female,divorced,Yes,Yes,Yes
22,Inglis,Yersin,iyersinl@digg.com,Male,single,Yes,No,No
23,Alric,Clashe,aclashem@boston.com,Male,single,Yes,Yes,Yes
24,Georgie,Dwyer,gdwyern@skype.com,Male,married,No,No,No
25,Wilie,Mapstone,wmapstoneo@nationalgeographic.com,Female,married,No,No,Yes
26,Hussein,Glenister,hglenisterp@last.fm,Male,married,No,No,Yes
27,Derk,Fligg,dfliggq@aol.com,Male,divorced,No,No,No
28,Archibald,Brunsdon,abrunsdonr@omniture.com,Male,separated,No,Yes,No
29,Art,Driffe,adriffes@usatoday.com,Male,married,No,Yes,Yes
30,Lillis,McElroy,lmcelroyt@bizjournals.com,Female,married,Yes,No,Yes
31,Dulce,Renvoise,drenvoiseu@bluehost.com,Female,separated,Yes,No,No
32,Wilfrid,Winney,wwinneyv@networkadvertising.org,Agender,married,Yes,Yes,No
33,Mitchael,Neames,mneamesw@reverbnation.com,Male,separated,Yes,No,Yes
34,Stafford,Udey,sudeyx@jiathis.com,Male,married,No,Yes,No
35,Travus,Gatheridge,tgatheridgey@example.com,Male,single,No,No,Yes
36,Saundra,Beincken,sbeinckenz@cam.ac.uk,Female,married,No,No,Yes
37,Valerye,Yannoni,vyannoni10@blinklist.com,Female,married,Yes,No,Yes
38,Finley,Davidofski,fdavidofski11@economist.com,Male,married,Yes,Yes,Yes
39,Thoma,Gittis,tgittis12@amazon.co.jp,Non-binary,separated,No,Yes,No
40,Lawton,Sykes,lsykes13@rambler.ru,Male,single,Yes,No,Yes
41,Codi,Mattingley,cmattingley14@dailymail.co.uk,Female,separated,No,Yes,Yes
42,Morissa,Twatt,mtwatt15@ameblo.jp,Female,divorced,No,Yes,Yes
43,Imogen,Knappen,iknappen16@goodreads.com,Bigender,single,Yes,No,Yes
44,Luisa,Frensche,lfrensche17@ning.com,Female,married,No,Yes,Yes
